dataset,var,config.train,config.vars,T,alg,t_run_s,FAR,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,ROC,Sens,Spec
dacc,tunuyan.temp_min,smote,local,1,glm,29.7,0.18,0.9048697622,0.7835512742,0.8902221833,0.918155371,0.6874292186,0,0.0005169324745,0.8894927536,0.9118616145,0.8210702341,0.9477739726,0.8210702341,0.8894927536,0.8539130435,0.3125707814,0.2780294451,0.3386183465,0.9006771841,0.9545800234,0.8883632923,0.9015601783
dacc,tunuyan.temp_min,smote,local,2,glm,28.655,0.18,0.9014164306,0.7757597707,0.8865513669,0.9149309226,0.6872521246,0,0.0006462043795,0.884057971,0.9093157461,0.8160535117,0.9451585261,0.8160535117,0.884057971,0.8486956522,0.3127478754,0.2764872521,0.3388101983,0.8966868585,0.9553240197,0.8826868496,0.9045319465
dacc,tunuyan.temp_min,smote,local,1,rf,4825.294,0.2,0.8975084938,0.7684795001,0.8824131502,0.9112677675,0.6874292186,0,0.000008204961428,0.8913043478,0.9003294893,0.8026101142,0.9479618387,0.8026101142,0.8913043478,0.8446351931,0.3125707814,0.2785956965,0.3471121178,0.8958169186,0.9990894215,1,0.9884843982
dacc,tunuyan.temp_min,normal,local,2,rf,6395.978,0.17,0.9003397508,0.7694585373,0.8854138401,0.9139196509,0.6874292186,4.77E-101,0.4070160273,0.8514492754,0.9225700165,0.8333333333,0.9317803661,0.8333333333,0.8514492754,0.8422939068,0.3125707814,0.2661381653,0.3193657984,0.8870096459,1,1,1
dacc,tunuyan.temp_min,smote,all,2,rpart,425.555,0.18,0.8980747452,0.7665119285,0.8830130181,0.9117984163,0.6874292186,1.29E-98,0.0208547615,0.865942029,0.9126853377,0.8184931507,0.937394247,0.8184931507,0.865942029,0.8415492958,0.3125707814,0.2706681767,0.3306908267,0.8893136834,0.9154228296,0.8779564806,0.913479391
dacc,tunuyan.temp_min,normal,local,2,glm,33.197,0.15,0.9014722537,0.7695893032,0.8866150757,0.9149794375,0.6874292186,2.80E-102,0.4950567082,0.8333333333,0.9324546952,0.8487084871,0.9248366013,0.8487084871,0.8333333333,0.8409506399,0.3125707814,0.2604756512,0.3069082673,0.8828940143,0.9543924278,0.821192053,0.9283327144
dacc,tunuyan.temp_min,smote,all,1,glm,184.779,0.18,0.8975084938,0.7651005528,0.8824131502,0.9112677675,0.6874292186,5.15E-98,0.0257552485,0.8641304348,0.9126853377,0.8181818182,0.9366018597,0.8181818182,0.8641304348,0.8405286344,0.3125707814,0.2701019253,0.3301245753,0.8884078863,0.9559657784,0.8893093661,0.9012620638
dacc,tunuyan.temp_min,normal,local,2,C5.0,122.9,0.19,0.8958097395,0.7617866296,0.8806143414,0.9096750209,0.6874292186,3.16E-96,0.009873332091,0.865942029,0.9093904448,0.8129251701,0.9371816638,0.8129251701,0.865942029,0.8385964912,0.3125707814,0.2706681767,0.3329558324,0.8876662369,0.9548849623,0.8949858089,0.9253620498
dacc,tunuyan.temp_min,normal,all,1,glm,23.324,0.15,0.8997734994,0.7652671498,0.88481343,0.9133895483,0.6874292186,1.95E-100,0.3670700241,0.8278985507,0.9324546952,0.8478664193,0.9225753871,0.8478664193,0.8278985507,0.8377635197,0.3125707814,0.2587768969,0.305209513,0.880176623,0.9564489995,0.8382213813,0.9302152932
dacc,tunuyan.temp_min,normal,local,2,rpart,38.867,0.18,0.8963759909,0.7611103801,0.8812138128,0.9102060688,0.6874292186,8.06E-97,0.1833212262,0.8514492754,0.9168039539,0.823117338,0.9313807531,0.823117338,0.8514492754,0.8370436331,0.3125707814,0.2661381653,0.3233295583,0.8841266146,0.9536692592,0.8836329234,0.9387300408
dacc,tunuyan.temp_min,normal,local,1,rf,676.679,0.18,0.8963759909,0.7608763531,0.8812138128,0.9102060688,0.6874292186,8.06E-97,0.2369066428,0.8496376812,0.9176276771,0.8242530756,0.9306599833,0.8242530756,0.8496376812,0.8367528992,0.3125707814,0.2655719139,0.3221970555,0.8836326791,1,1,1
dacc,tunuyan.temp_min,normal,local,1,rpart,10.435,0.18,0.8958097395,0.759687377,0.8806143414,0.9096750209,0.6874292186,3.16E-96,0.2101123275,0.8496376812,0.9168039539,0.8228070175,0.9306020067,0.8228070175,0.8496376812,0.8360071301,0.3125707814,0.2655719139,0.3227633069,0.8832208175,0.9199682675,0.8684957427,0.9086859688
dacc,tunuyan.temp_min,normal,local,1,C5.0,37.553,0.19,0.8935447339,0.7573147377,0.8782177486,0.9075495269,0.6874292186,7.03E-94,0.002787653335,0.8677536232,0.9052718287,0.8063973064,0.9377133106,0.8063973064,0.8677536232,0.8359511344,0.3125707814,0.2712344281,0.3363533409,0.8865127259,0.9452415017,0.9063386944,0.9005196733
dacc,tunuyan.temp_min,normal,all,2,glm,25.279,0.15,0.8986409966,0.7614287978,0.88361302,0.91232893,0.6874292186,3.21E-99,0.1001024396,0.8170289855,0.9357495881,0.8525519849,0.9183508488,0.8525519849,0.8170289855,0.8344125809,0.3125707814,0.2553793884,0.2995469989,0.8763892868,0.9605153836,0.8457899716,0.9324173784
dacc,tunuyan.temp_min,smote,all,1,rpart,241.454,0.17,0.8941109853,0.7544468321,0.8788167047,0.9080810939,0.6874292186,1.84E-94,0.6608329433,0.8369565217,0.9200988468,0.8264758497,0.9254349627,0.8264758497,0.8369565217,0.8316831683,0.3125707814,0.261608154,0.3165345413,0.8785276843,0.9600262751,0.9120151372,0.93281366
dacc,tunuyan.temp_min,smote,all,2,glm,331.787,0.15,0.8963759909,0.7563410673,0.8812138128,0.9102060688,0.6874292186,8.06E-97,0.1392893657,0.8152173913,0.9332784185,0.8474576271,0.9174089069,0.8474576271,0.8152173913,0.8310249307,0.3125707814,0.254813137,0.3006795017,0.8742479049,0.9592784264,0.8864711447,0.9112513925
dacc,tunuyan.temp_min,normal,local,1,glm,16.505,0.15,0.8969422424,0.7568229277,0.8818134155,0.9107369847,0.6874292186,2.04E-97,0.04535219143,0.8097826087,0.9365733114,0.8530534351,0.9154589372,0.8530534351,0.8097826087,0.8308550186,0.3125707814,0.2531143828,0.2967157418,0.87317796,0.9511865957,0.8079470199,0.9276169265
dacc,tunuyan.temp_min,smote,local,2,rpart,32.332,0.21,0.8866855524,0.7429968461,0.8709674918,0.9011045933,0.6872521246,0,0.0003106603426,0.865942029,0.8961253092,0.7913907285,0.9362618432,0.7913907285,0.865942029,0.8269896194,0.3127478754,0.2708215297,0.3422096317,0.8810336691,0.9416386335,0.9186376537,0.9063893016
dacc,tunuyan.temp_min,smote,local,1,rpart,41.51,0.2,0.8873159683,0.7424920315,0.871637399,0.9016940684,0.6874292186,0,0.01071150228,0.8532608696,0.902800659,0.7996604414,0.9311809686,0.7996604414,0.8532608696,0.8255915863,0.3125707814,0.2667044168,0.3335220838,0.8780307643,0.9479715644,0.9110690634,0.9208766716
dacc,tunuyan.temp_min,normal,all,1,C5.0,109.129,0.21,0.8850509626,0.7398399118,0.8692481261,0.899561206,0.6874292186,1.94E-85,8.48E-05,0.8677536232,0.8929159802,0.7865353038,0.9369057908,0.7865353038,0.8677536232,0.8251507321,0.3125707814,0.2712344281,0.3448471121,0.8803348017,0.9650165159,0.8987701041,0.9368968077
dacc,tunuyan.temp_min,normal,all,2,rpart,72.341,0.17,0.8912797282,0.7462575321,0.8758231815,0.9054219933,0.6874292186,1.42E-91,0.7182161295,0.8206521739,0.9233937397,0.8296703297,0.918852459,0.8296703297,0.8206521739,0.825136612,0.3125707814,0.2565118913,0.3091732729,0.8720229568,0.9255141663,0.8618732261,0.9379873747
dacc,tunuyan.temp_min,normal,all,1,rpart,57.878,0.16,0.8907134768,0.7419961879,0.8752248498,0.9048897979,0.6874292186,5.28E-91,0.0438539502,0.7989130435,0.9324546952,0.8432122371,0.9106999195,0.8432122371,0.7989130435,0.8204651163,0.3125707814,0.2497168743,0.2961494904,0.8656838694,0.9308235337,0.8372753075,0.9513734224
dacc,tunuyan.temp_min,normal,all,2,C5.0,152.501,0.19,0.8850509626,0.7347426212,0.8692481261,0.899561206,0.6874292186,1.94E-85,0.2614460523,0.8315217391,0.9093904448,0.8066783831,0.9223057644,0.8066783831,0.8315217391,0.818911686,0.3125707814,0.2599093998,0.3221970555,0.870456092,0.9605886314,0.880794702,0.9428147048
dacc,tunuyan.temp_min,smote,local,1,C5.0,175.596,0.21,0.8771234428,0.7186539628,0.8608998047,0.8920819665,0.6874292186,0,0.02983292546,0.8333333333,0.8970345964,0.7863247863,0.9220999153,0.7863247863,0.8333333333,0.8091468777,0.3125707814,0.2604756512,0.3312570781,0.8651839649,0.9787516181,0.9545884579,0.9506310319
dacc,tunuyan.temp_min,smote,local,2,C5.0,262.364,0.23,0.8652321631,0.6906752468,0.848415468,0.8808247423,0.6874292186,0,0.08009242468,0.8097826087,0.8904448105,0.7706896552,0.9114671164,0.7706896552,0.8097826087,0.7897526502,0.3125707814,0.2531143828,0.3284258211,0.8501137096,0.9859100699,0.9744560076,0.9736353509
dacc,la_llave.temp_min,normal,local,2,C5.0,48.791,0.27,0.8929784824,0.7038905321,0.8776189191,0.9070178325,0.7774631937,8.63E-37,0.0004803412,0.8218829517,0.9133284778,0.7307692308,0.9471299094,0.7307692308,0.8218829517,0.7736526946,0.2225368063,0.1828992072,0.2502831257,0.8676057147,0.9486207551,0.8638968481,0.9252948886
dacc,la_llave.temp_min,smote,local,1,glm,31.921,0.31,0.885617214,0.6984661783,0.8698452707,0.9000945963,0.7774631937,0,0,0.8778625954,0.8878368536,0.6913827655,0.9621152328,0.6913827655,0.8778625954,0.7735426009,0.2225368063,0.1953567384,0.2825594564,0.8828497245,0.9479904683,0.8510028653,0.886996397
dacc,la_llave.temp_min,normal,all,2,glm,24.998,0.25,0.8952434881,0.7029255527,0.8800150001,0.9091438418,0.7774631937,2.51E-38,1.41E-01,0.7913486005,0.9249817917,0.7512077295,0.9393491124,0.7512077295,0.7913486005,0.770755886,0.2225368063,0.1761041903,0.2344280861,0.8581651961,0.9597619298,0.7220630372,0.9547837484
dacc,la_llave.temp_min,smote,all,2,rpart,214.981,0.3,0.885617214,0.6933864394,0.8698452707,0.9000945963,0.7774631937,4.47E-32,2.22E-09,0.8524173028,0.8951201748,0.6993736952,0.9549339549,0.6993736952,0.8524173028,0.7683486239,0.2225368063,0.1896942242,0.2712344281,0.8737687388,0.9354462948,0.9169054441,0.8915465269
dacc,la_llave.temp_min,smote,all,2,glm,177.768,0.34,0.8771234428,0.6867150955,0.8608998047,0.8920819665,0.7774631937,3.84E-27,3.72E-23,0.9109414758,0.8674435543,0.662962963,0.971451876,0.662962963,0.9109414758,0.7674169346,0.2225368063,0.2027180068,0.3057757644,0.889192515,0.9591484,0.8638968481,0.9020314548
dacc,junin.temp_min,smote,local,2,rf,1817.234,0.3,0.9354107649,0.730230151,0.9229189523,0.9464296576,0.8742209632,0,0.00002501811903,0.8468468468,0.9481529488,0.7014925373,0.9772879092,0.7014925373,0.8468468468,0.7673469388,0.1257790368,0.1065155807,0.1518413598,0.8974998978,0.9983358906,1,0.9630842513
dacc,junin.temp_min,smote,local,1,glm,16.603,0.33,0.9320498301,0.7276358608,0.919295408,0.9433445879,0.8742921857,0,0.0000000002999405112,0.8873873874,0.9384715026,0.6746575342,0.9830393487,0.6746575342,0.8873873874,0.766536965,0.1257078143,0.1115515289,0.1653454134,0.912929445,0.970672743,0.8897435897,0.9166418577
dacc,la_llave.temp_min,normal,local,1,C5.0,121.708,0.27,0.889580974,0.6923504366,0.8740285523,0.9038250384,0.7774631937,1.46E-34,0.00417721573,0.8040712468,0.9140568099,0.7281105991,0.9421921922,0.7281105991,0.8040712468,0.7642079807,0.2225368063,0.1789354473,0.2457531144,0.8590640284,0.9301938438,0.8137535817,0.9249918113
